Authors,Sum Of Times Cited,Publications,Num Patentes
CAMACHO PEREZ JOSE RODRIGO,13,5,
ZAMUDIO RIVERA LUIS SILVESTRE,1578,47,
HERNANDEZ ALTAMIRANO RAUL,408,39,
VAZQUEZ MORENO FLAVIO SALVADOR,39,5,
ALVAREZ RAMIREZ FERNANDO,1162,48,
MENA CERVANTES VIOLETA YASMIN,491,38,
FLORES OROPEZA EUGENIO ALEJANDRO,496,13,
LOZADA Y CASSOU MARCELO,3218,50,
FLORES SANDOVAL CESAR ANDRES,174,16,
ANCHEYTA JUAREZ JORGE,126,4,
CASTRO SOTELO LAURA VERONICA,63,3,
TOLEDO ANTONIO JOSE ANTONIO,3122,50,
LOPEZ SALINAS ESTEBAN,1883,50,
CABRERA LLANOS ROBERTO MARCOS,NaN,NaN,
BELTRAN CONDE HIRAM ISAAC,1712,50,
DOMINGUEZ ESQUIVEL JOSE MANUEL,187,18,
ANGELES CHAVEZ CARLOS,2437,50,
CORTES JACOME MARIA ANTONIA,2038,50,
FERRAT TORRES GERARDO,106,5,
HERNANDEZ CORTEZ JOSE GONZALO,1052,29,
BUENROSTRO GONZALEZ EDUARDO,288,16,
GUERRA ZUBIAGA DAVID APOLINAR,0,4,
LUNA ROJERO ERICK EMANUEL,189,19,
ABURTO ANELL JORGE ARTURO,2,2,
MARROQUIN SANCHEZ GUSTAVO JESUS,127,6,
CENTENO NOLASCO GUILLERMO,47,2,
JIMENEZ CRUZ FEDERICO JESUS,827,31,
RUIZ MORALES YOSADARA,2596,41,
RAYO MAYORAL PATRICIA,40,1,
RAMIREZ SABAG JETZABETH,23,5,
GUZMAN LUCERO DIEGO JAVIER,24,1,
DOMINGUEZ AGUILAR MARCO ANTONIO,681,11,
RAMIREZ SOLIS JORGE FERNANDO,67,5,
HERRERA ESTRELLA LUIS RAFAEL,4,1,
ALONSO VILATELA MARIA ELISA,86,3,
GEVORGYAN GOHAR,2,4,
DURAN VALENCIA CECILIA DE LOS ANGELES,34,1,
PALOMEQUE SANTIAGO JORGE FROYLAN,3,2,
ZAPATA PEÑASCO NORMA ICOQUIH,3,1,
CAMPOS CANTON ERIC,815,62,
CRUZ BARBA LUIS EMILIO,312,14,
CENDEJAS SANTANA GABRIEL,375,10,
POSSANI POSTAY LOURIVAL DOMINGOS,0,1,
CANO DOMINGUEZ JOSE LUIS,145,13,
ROSADO LORIA JORGE LUIS,1,2,
MONTARAZ CRESPO JUAN ANTONIO,NaN,NaN,
LAREDO SANCHEZ GEORGINA CECILIA,2,1,
HERNANDEZ PEREZ FIDENCIO,26,1,
GARCIA GUTIERREZ JOSE LUIS,520,18,
GOMEZ ALDAPA CARLOS ALBERTO,1,2,
GARIBAY FEBLES VICENTE,734,39,
ROLDAN CARRILLO TERESA GUADALUPE,1,1,
MAITY SAMIR KUMAR,121,17,
CABRERA AQUINO JOSE GUSTAVO,NaN,NaN,
SEGURA PACHECO BLANCA ANGELICA,7,2,
RODRIGUEZ SALINAS JUAN JOSE,0,1,
ACEVES DIEZ ANGEL EMILIO,25,4,
AQUINO OLIVOS MARCO ANTONIO,169,13,
CASTORENA CORTES GLADYS TERESA,161,10,
QUEJ AKE LUIS MANUEL,68,10,
TOVAR LOPEZ FRANCISCO JAVIER,1647,50,
MURRIETA GUEVARA FLORENTINO RAFAEL,999,21,
SALMON SALAZAR MANUEL DE JESUS,9,1,
BAEZA RAMIREZ MARIA ISABEL,0,1,
ALAGON CANO ALEJANDRO,20,2,
LARA OCHOA JOSE MANUEL FRANCISCO,674,44,
CHICUREL Y UZIEL ENRIQUE JAIME,9,2,
ELIZALDE GONZALEZ MARIA DE LA PAZ,1739,69,
SCIUTTO CONDE EDDA LYDIA,8,1,
ANGELES ALVAREZ PEDRO GUILLERMO,1232,64,
RITO PALOMARES MARCO ANTONIO,4154,178,
MORAN PINEDA FLORENCIA MARINA,6,2,
ITURRIAGA DE LA FUENTE GABRIEL,1425,29,
LICEA NAVARRO ALEXEI FEDOROVISH,1970,99,
CORNEJO CRUZ JUAN MANUEL,1,4,
STOCK SILBERMAN ROBERTO PABLO,992,49,
FEMAT FLORES ALEJANDRO RICARDO,49,1,
DOUDA YOURI,1795,63,
ASCANIO GASCA GABRIEL,0,1,
DIAZ RUIZ MARIA DE LOS ANGELES ARAC,229,32,
CASTAÑON AVILA GERARDO ANTONIO,565,76,
DUARTE VAZQUEZ MIGUEL ANGEL,411,23,
VILCHIS GONZALEZ ADRIANA HERLINDA,4459,256,
RAMOS CERRILLO BLANCA MARGARITA,384,14,
PEREZ TORRES CLAUDIA ANAHI,959,17,
MIRANDA OLVERA ALMA DELIA,219,13,
PAZ MICHEL BRENDA ASTRID,84,15,
GRANADOS COVARRUBIAS EVIN HAZAEL,33,2,
LUJAN MONTELONGO JESUS ARMANDO,336,26,
VALLEJO CARDONA ALBA ADRIANA,951,38,
ROJAS GARCIA JOSE MANUEL,114,36,
CAMPOS CANTON ISAAC,118,27,
JUAREZ RUIZ JUAN MANUEL,62,4,
GALINDO ESQUIVEL IGNACIO RENE,290,19,
SEGURA VELAZQUEZ RENE ALVARO,185,16,
ORRANTIA BORUNDA ERASMO,588,43,
FARIAS MANCILLA JOSE RURIK,326,28,
GARCIA FLORES BLANCA ESTELA,365,15,
VAZQUEZ NAVA NIMROD,1003,50,
OLIVARES LECONA JOSE ALBERTO,NaN,NaN,
CERVANTES TORRES JACQUELYNNE BRENDA,381,34,
TORRES OLGUIN RAYMUNDO ENRIQUE,606,44,
SANTOS CUEVAS CLARA LETICIA,1372,50,
LEYVA INZUNZA ZENAIDA CAROLINA,NaN,NaN,
CORTES RAMIREZ JORGE ARMANDO,85,7,
