Patent,INVENTOR,Filing Date,Year
US8447690,SALMON SALAZAR MANUEL DE JESUS,2010-09-09,2010
US8666756,SALMON SALAZAR MANUEL DE JESUS,2013-02-05,2013
US6777193,BAEZA RAMIREZ MARIA ISABEL,2000-08-04,2000
US7867723,BAEZA RAMIREZ MARIA ISABEL,2004-06-14,2004
US7169012,RUIZ SCHNEIDER ELFEGO GUILLERMO,2006-01-05,2006
US11478896,RUIZ SCHNEIDER ELFEGO GUILLERMO,2017-11-08,2017
US8979698,CHICUREL UZIEL RICARDO,2013-02-06,2013
US8287860,ALAGON CANO ALEJANDRO,2005-08-29,2005
US8075893,ALAGON CANO ALEJANDRO,2008-12-02,2008
US8512706,ALAGON CANO ALEJANDRO,2011-11-17,2011
US8541551,ALAGON CANO ALEJANDRO,2012-09-11,2012
US6528492,LARA OCHOA JOSE MANUEL FRANCISCO,2001-09-20,2001
US9537606,RODRIGUEZ RODRIGUEZ JOAQUIN HECTOR,2013-09-25,2013
US8563626,OLAYO GONZALEZ ROBERTO,2007-06-01,2007
US9927012,CHICUREL Y UZIEL ENRIQUE JAIME,2015-10-29,2015
US10316215,CASTAÑO MENESES VICTOR MANUEL,2015-09-29,2015
US9873947,PEREZ ROBLES JUAN FRANCISCO,2013-12-19,2013
US8501663,ELIZALDE GONZALEZ MARIA DE LA PAZ,2009-06-26,2009
USPP35505,GARZON TIZNADO JOSE ANTONIO,2022-11-23,2022
US10239842,IBARRA VELARDE OSVALDO FROYLAN,2015-11-25,2015
US9446122,SCIUTTO CONDE EDDA LYDIA,2012-07-28,2012
US11020449,SCIUTTO CONDE EDDA LYDIA,2017-05-18,2017
US11746207,RODRIGUEZ FERNANDEZ OLIVERIO SANTIAGO,2018-06-14,2018
US11110550,ACOSTA ORTIZ SOFIA ELIZABETH,2016-11-22,2016
US6159436,CASTILLEJOS ESCOBAR ALFONSO HUMBERTO,1996-11-18,1996
US9533260,PACHECO SOTELO JOEL OSVALDO,2013-07-03,2013
US10239842,VERA MONTENEGRO REMEDIOS YOLANDA,2015-11-25,2015
US8343514,LOPEZ GOERNE TESSY MARIA,2006-06-06,2006
US8563283,GOSSET LAGARDA GUILLERMO,2010-08-06,2010
US9474268,ANGELES ALVAREZ PEDRO GUILLERMO,2013-01-15,2013
US9920264,AGUILAR ESCALANTE RODOLFO ANTONIO,2012-08-30,2012
US8506997,SOTO PEREDO CLAUDIA ANGELICA,2009-05-01,2009
