Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Average per Year,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Inexpensive anti-cysticercosis vaccine:: S3Pvac expressed in heat inactivated M13 filamentous phage proves effective against naturally acquired <i>Taenia solium</i> porcine cysticercosis,"Morales, Julio; Juan Martinez, Jose; Manoutcharian, Karen; Hernandez, Marisela; Fleury, Agnes; Gevorkian, Goar; Acero, Gonzalo; Blancas, Abel; Toledo, Andrea; Cervantes, Jacquelynne; Maza, Victor; Quet, Fabrice; Bonnabau, Henri; de Aluja, Aline S.; Fragoso, Gladis; Larralde, Carlos; Sciutto, Edda",,,,VACCINE,JUN 2 2008,2008,26.0,23.0,,,,2899.0,2905,,10.1016/j.vaccine.2008.03.042,,,60,"3,53",0,0,0,0,5,7,4,5,4,4,3,3,5,1,4,3,7,2,3,0
Transgenic plants: a 5-year update on oral antipathogen vaccine development,"Hernandez, Marisela; Rosas, Gabriela; Cervantes, Jacquelynne; Fragoso, Gladis; Rosales-Mendoza, Sergio; Sciutto, Edda",,,,EXPERT REVIEW OF VACCINES,DEC 2014,2014,13.0,12.0,,,,1523.0,1536,,10.1586/14760584.2014.953064,,,38,"3,45",0,0,0,0,0,0,0,0,0,0,6,4,11,6,2,2,3,1,2,1
"Improvement of the synthetic tri-peptide vaccine (S3Pvac) against porcine <i>Taenia solium</i> cysticercosis in search of a more effective, inexpensive and manageable vaccine","Sciutto, Edda; Rosas, Gabriela; Hernandez, Marisela; Morales, Julio; Cruz-Revilla, Carmen; Toledo, Andrea; Manoutcharian, Karen; Gevorkian, Goar; Blancas, Abel; Acero, Gonzalo; Hernandez, Beatriz; Cervantes, Jacquelynne; Bobes, Raul J.; Goldbaum, Fernando A.; Huerta, Mirna; Diaz-Orea, Alicia; Fleury, Agnes; de Aluja, Aline S.; Cabrera-Ponce, Jose Luis; Herrera-Estrella, Luis; Fragoso, Gladis; Larralde, Carlos",,,,VACCINE,FEB 9 2007,2007,25.0,8.0,,,,1368.0,1378,,10.1016/j.vaccine.2006.10.018,,,34,"1,89",0,0,0,6,3,5,2,3,2,3,1,0,2,1,1,0,3,1,1,0
DEVELOPMENT OF THE S3PVAC VACCINE AGAINST PORCINE <i>TAENIA SOLIUM</i> CYSTICERCOSIS: A HISTORICAL REVIEW,"Sciutto, Edda; Fragoso, Gladis; Hernandez, Marisela; Rosas, Gabriela; Martinez, Jose J.; Fleury, Agnes; Cervantes, Jacquelynne; Aluja, Aline; Larralde, Carlos",,,,JOURNAL OF PARASITOLOGY,AUG 2013,2013,99.0,4.0,,,,686.0,692,,10.1645/GE-3102.1,,,22,"1,83",0,0,0,0,0,0,0,0,1,4,0,3,2,3,3,3,3,0,0,0
<i>Brucella</i> spp. lumazine synthase:: a novel antigen delivery system,"Sciutto, E; Toledo, A; Cruz, C; Rosas, G; Meneses, G; Laplagne, D; Ainciart, N; Cervantes, J; Fragoso, G; Goldbaum, FA",,,,VACCINE,APR 15 2005,2005,23.0,21.0,,,,2784.0,2790,,10.1016/j.vaccine.2004.11.043,,,21,"1,05",1,3,2,1,2,1,1,1,2,2,1,0,1,2,0,0,1,0,0,0
Towards the development of an oral vaccine against porcine cysticercosis: expression of the protective HP6/TSOL18 antigen in transgenic carrots cells,"Monreal-Escalante, Elizabeth; Govea-Alonso, Dania O.; Hernandez, Marisela; Cervantes, Jacquelynne; Salazar-Gonzalez, Jorge A.; Romero-Maldonado, Andrea; Rosas, Gabriela; Garate, Teresa; Fragoso, Gladis; Sciutto, Edda; Rosales-Mendoza, Sergio",,,,PLANTA,MAR 2016,2016,243.0,3.0,,,,675.0,685,,10.1007/s00425-015-2431-0,,,20,"2,22",0,0,0,0,0,0,0,0,0,0,0,1,5,1,1,4,4,3,1,0
Characterization of S3Pvac Anti-Cysticercosis Vaccine Components: Implications for the Development of an Anti-Cestodiasis Vaccine,"Rassy, Dunia; Bobes, Raul J.; Rosas, Gabriela; Anaya, Victor H.; Brehm, Klaus; Hernandez, Beatriz; Cervantes, Jacquelynne; Pedraza, Saul; Morales, Julio; Villalobos, Nelly; de Aluja, Aline S.; Laclette, Juan P.; Nunes, Caris M.; Biondi, Germano F.; Fragoso, Gladis; Hernandez, Marisela; Sciutto, Edda",,,,PLOS ONE,JUN 23 2010,2010,5.0,6.0,,,,,,e11287,10.1371/journal.pone.0011287,,,20,"1,33",0,0,0,0,0,0,4,5,1,1,2,0,2,1,0,0,1,1,1,1
Heterologous Prime-Boost Oral Immunization with GK-1 Peptide from <i>Taenia crassiceps</i> Cysticerci Induces Protective Immunity,"Fragoso, Gladis; Esquivel-Guadarrama, Fernando; Angelica Santana, M.; Bobes, Raul J.; Hernandez, Beatriz; Cervantes, Jacquelynne; Segura, Rene; Goldbaum, Fernando A.; Sciutto, Edda; Rosas, Gabriela",,,,CLINICAL AND VACCINE IMMUNOLOGY,JUL 2011,2011,18.0,7.0,,,,1067.0,1076,,10.1128/CVI.05030-11,,,17,"1,21",0,0,0,0,0,0,0,1,1,1,1,1,3,4,2,1,1,0,1,0
Recombinant S3Pvac-phage anticysticercosis vaccine: Simultaneous protection against cysticercosis and hydatid disease in rural pigs,"Morales, Julio; de Aluja, Aline S.; Juan Martinez, Jose; Hernandez, Marisela; Rosas, Gabriela; Villalobos, Nelly; Hernandez, Beatriz; Blancas, Abel; Manoutcharian, Karen; Gevorkian, Goar; Cervantes, Jacquelynne; Diaz, Alicia; Fleury, Agnes; Fragoso, Gladis; Larralde, Carlos; Sciutto, Edda",,,,VETERINARY PARASITOLOGY,FEB 28 2011,2011,176.0,1.0,,,,53.0,58,,10.1016/j.vetpar.2010.10.039,,,16,"1,14",0,0,0,0,0,0,0,5,2,0,2,1,3,0,0,1,1,1,0,0
Transgenic papaya: a useful platform for oral vaccines,"Fragoso, Gladis; Hernandez, Marisela; Cervantes-Torres, Jacquelynne; Ramirez-Aquino, Ruben; Chapula, Hector; Villalobos, Nelly; Segura-Velazquez, Rene; Figueroa, Alfredo; Flores, Ivan; Jimenez, Herminio; Adalid, Laura; Rosas, Gabriela; Galvez, Luis; Pezzat, Elias; Monreal-Escalante, Elizabeth; Rosales-Mendoza, Sergio; Vazquez, Luis G.; Sciutto, Edda",,,,PLANTA,MAY 2017,2017,245.0,5.0,,,,1037.0,1048,,10.1007/s00425-017-2658-z,,,14,"1,75",0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,3,2,1,0
Heparan Sulfate and Sialic Acid in Viral Attachment: Two Sides of the Same Coin?,"Emmanuel Ramos-Martinez, Ivan; Ramos-Martinez, Edgar; Alvaro Segura-Velazquez, Rene; Saavedra-Montanez, Manuel; Brenda Cervantes-Torres, Jacquelynne; Cerbon, Marco; Papy-Garcia, Dulce; Zenteno, Edgar; Ivan Sanchez-Betancourt, Jose",,,,INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,SEP 2022,2022,23.0,17.0,,,,,,9842,10.3390/ijms23179842,,,11,"3,67",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6
Expression of immunogenic poliovirus Sabin type 1 VP proteins in transgenic tobacco,"Bolanos-Martinez, Omayra C.; Govea-Alonso, Dania O.; Cervantes-Torres, Jacquelynne; Hernandez, Marisela; Fragoso, Gladis; Sciutto-Conde, Edda; Rosales-Mendoza, Sergio",,,,JOURNAL OF BIOTECHNOLOGY,OCT 10 2020,2020,322.0,,,,,10.0,20,,10.1016/j.jbiotec.2020.07.007,,,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3,1
Renewed hope for a vaccine against the intestinal adult <i>Taenia solium</i>,"Sclutto, Edda; Rosas, Gabriela; Cruz-Revilla, Carmen; Toledo, Andrea; Cervantes, Jacquelynne; Hernandez, Marisela; Hernandez, Beatriz; Goldbaum, Fernando A.; de Aluja, Aline S.; Fragoso, Gladis; Larraide, Carlos",,,,JOURNAL OF PARASITOLOGY,AUG 2007,2007,93.0,4.0,,,,824.0,831,,10.1645/GE-1018R1.1,,,9,"0,5",0,0,0,1,0,4,2,0,1,0,1,0,0,0,0,0,0,0,0,0
Identification and genomic characterization of influenza viruses with different origin in Mexican pigs,"Saavedra-Montanez, Manuel; Vaca, Luis; Ramirez-Mendoza, Humberto; Gaitan-Peredo, Carmen; Bautista-Martinez, Rebeca; Segura-Velazquez, Rene; Cervantes-Torres, Jacquelynne; Ivan Sanchez-Betancourt, Jose",,,,TRANSBOUNDARY AND EMERGING DISEASES,JAN 2019,2019,66.0,1.0,,,,186.0,194,,10.1111/tbed.12998,,,8,"1,33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,1
Intranasal dexamethasone: a new clinical trial for the control of inflammation and neuroinflammation in COVID-19 patients,"Cardenas, Graciela; Chavez-Canales, Maria; Maria Espinosa, Ana; Jordan-Rios, Antonio; Anica Malagon, Daniel; Marquez Murillo, Manlio Fabio; Torres Araujo, Laura Victoria; Barajas Campos, Ricardo Leopoldo; Wong-Chew, Rosa Maria; Ramirez Gonzalez, Luis Esteban; Ibet Cresencio, Karent; Garcia Velazquez, Enrique; Rodriguez de la Cerda, Mariana; Leyva, Yoana; Hernandez-Ruiz, Joselin; Luisa Hernandez-Medel, Maria; Leon-Hernandez, Mireya; Medina Quero, Karen; Sanchez Moncivais, Anahi; Hernandez Diaz, Sergio; Zeron Martinez, Ignacia Rosalia; Martinez-Cuazitl, Adriana; Martinez Salazar, Ivan Noe; Beltran Sarmiento, Eduardo; Figueroa Pena, Aldo; Sarai Hernandez, Patricia; Aguilar Reynoso, Rafel Ignacio; Murillo Reyes, Daniela; Del Rio Ambriz, Luis Rodrigo; Alfaro Bonilla, Rogelio Antonio; Cruz, Jocelyn; Huerta, Leonor; Alma Fierro, Nora; Hernandez, Marisela; Perez-Tapia, Mayra; Meneses, Gabriela; Espindola-Arriaga, Erick; Rosas, Gabriela; Chinney, Alberto; Rosales Mendoza, Sergio; Alberto Hernandez-Aceves, Juan; Cervantes-Torres, Jaquelynne; Fuentes Rodriguez, Anai; Olguin Alor, Roxana; Ortega Francisco, Sandra; Alvarez Salazar, Evelyn; Besedovsky, Hugo; Romano, Marta C.; Bobes, Raul J.; Jung, Helgi; Soldevila, Gloria; Lopez-Alvarenga, Juan; Fragoso, Gladis; Pedro Laclette, Juan; Sciutto, Edda",,,,TRIALS,FEB 14 2022,2022,23.0,1.0,,,,,,148,10.1186/s13063-022-06075-5,,,7,"2,33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
Helminth-derived peptide GK-1 induces Myd88-dependent pro-inflammatory signaling events in bone marrow-derived antigen-presenting cells,"Montero, Laura; Cervantes-Torres, Jacquelynne; Sciutto, Edda; Fragoso, Gladis",,,,MOLECULAR IMMUNOLOGY,DEC 2020,2020,128.0,,,,,22.0,32,,10.1016/j.molimm.2020.09.015,,,7,"1,4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,0
