Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Average per Year,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Lithium Niobate Single Crystals and Powders Reviewed-Part II,"Sanchez-Dena, Oswaldo; Villalobos-Mendoza, Sergio David; Farias, Rurik; Fierro-Ruiz, Cesar David",,,,CRYSTALS,NOV 2020,2020,10,11.0,,,,,,990,10.3390/cryst10110990,,,26,"5,2",0,0,0,0,0,0,0,0,0,0,8,3,8,7
Surface enhanced Raman spectroscopy in nanofibers mats of SiO<sub>2</sub>-TiO<sub>2</sub>-Ag,"Hafid Roque-Ruiz, Jose; Martinez-Maynez, Hector; Alejandra Zalapa-Garibay, Manuela; Arizmendi-Moraquecho, Ana; Farias, Rurik; Yobanny Reyes-Lopez, Simon",,,,RESULTS IN PHYSICS,2017,2017,7,,,,,2520,2527,,10.1016/j.rinp.2017.07.006,,,26,"3,25",0,0,0,0,0,0,0,2,3,6,7,1,7,0
Lithium Niobate Single Crystals and Powders Reviewed-Part I,"Sanchez-Dena, Oswaldo; David Fierro-Ruiz, Cesar; David Villalobos-Mendoza, Sergio; Carrillo Flores, Diana Maria; Trinidad Elizalde-Galindo, Jose; Farias, Rurik",,,,CRYSTALS,NOV 2020,2020,10,11.0,,,,,,973,10.3390/cryst10110973,,,25,5,0,0,0,0,0,0,0,0,0,0,7,1,11,6
Multiferroic response of nanocrystalline lithium niobate,"Diaz-Moreno, Carlos; Farias, Rurik; Hurtado-Macias, Abel; Elizalde-Galindo, Jose; Hernandez-Paz, Juan",,,,JOURNAL OF APPLIED PHYSICS,APR 1 2012,2012,111,7.0,,,,,,07D907,10.1063/1.3673434,56th Annual Conference on Magnetism and Magnetic Materials,"OCT 30-30, 2011",24,"1,85",0,1,0,2,1,3,3,2,1,2,2,1,4,2
Sputtering power effects on the electrochromic properties of NiO films,"Acuna, Juan R. Abenuz; Perez, Israel; Sosa, Victor; Gamboa, Fidel; Elizalde, Jose T.; Farias, Rurik; Carrillo, Diana; Enriquez, Jose L.; Burrola, Andres; Mani, Pierre",,,,OPTIK,APR 2021,2021,231,,,,,,,166509,10.1016/j.ijleo.2021.166509,,,22,"5,5",0,0,0,0,0,0,0,0,0,0,2,8,8,4
Optical properties of carbon nanostructures produced by laser irradiation on chemically modified multi-walled carbon nanotubes,"Vigueras Santiago, Enrique; Hernandez Lopez, Susana; Camacho Lopez, Marco A.; Reyes Contreras, Delfino; Farias-Mancilla, Rurik; Flores-Gallardo, Sergio G.; Hernandez-Escobar, Claudia A.; Armando Zaragoza-Contreras, E.",,,,OPTICS AND LASER TECHNOLOGY,OCT 2016,2016,84,,,,,53,58,,10.1016/j.optlastec.2016.05.002,,,16,"1,78",0,0,0,0,0,1,4,1,3,3,2,1,1,0
The formation of ZnO structures using thermal oxidation: How a previous chemical etching favors either needle-like or cross-linked structures,"Rojas-Chavez, H.; Cruz-Martinez, H.; Montejo-Alvaro, F.; Farias, Rurik; Hernandez-Rodriguez, Y. M.; Guillen-Cervantes, A.; Avila-Garcia, A.; Cayetano-Castro, N.; Medina, D., I; Cigarroa-Mayorga, O. E.",,,,MATERIALS SCIENCE IN SEMICONDUCTOR PROCESSING,MAR 15 2020,2020,108,,,,,,,104888,10.1016/j.mssp.2019.104888,,,15,3,0,0,0,0,0,0,0,0,0,2,4,5,1,3
Sol-Gel and Electrospinning Synthesis of Lithium Niobate-Silica Nanofibers,"Alberto Garibay-Alvarado, Jesus; Farias, Rurik; Yobanny Reyes-Lopez, Simon",,,,COATINGS,MAR 26 2019,2019,9,3.0,,,,,,212,10.3390/coatings9030212,,,15,"2,5",0,0,0,0,0,0,0,0,1,3,4,2,4,1
ZnTe semiconductor nanoparticles: A chemical approach of the mechanochemical synthesis,"Rojas-Chavez, H.; Gonzalez-Dominguez, J. L.; Roman-Doval, R.; Juarez-Garcia, J. M.; Daneu, N.; Farias, Rurik",,,,MATERIALS SCIENCE IN SEMICONDUCTOR PROCESSING,NOV 1 2018,2018,86,,,,,128,138,,10.1016/j.mssp.2018.06.029,,,14,2,0,0,0,0,0,0,0,1,3,4,3,2,0,1
Effect of size and composition on the second harmonic generation from lithium niobate powders at different excitation wavelengths,"Sanchez-Dena, O.; Garcia-Ramirez, E. V.; Fierro-Ruiz, C. D.; Vigueras-Santiago, E.; Farias, Rurik; Reyes-Esqueda, J. A.",,,,MATERIALS RESEARCH EXPRESS,MAR 2017,2017,4,3.0,,,,,,35022,10.1088/2053-1591/aa62e5,,,14,"1,75",0,0,0,0,0,0,0,1,2,4,2,3,2,0
Structural and Magnetic Behavior of Oxidized and Reduced Fe Doped LiNbO<sub>3</sub> Powders,"Fierro-Ruiz, Cesar D.; Sanchez-Dena, Oswaldo; Cabral-Larquier, Eva M.; Elizalde-Galindo, Jose T.; Farias, Rurik",,,,CRYSTALS,MAR 2018,2018,8,3.0,,,,,,108,10.3390/cryst8030108,,,13,"1,86",0,0,0,0,0,0,0,0,3,3,2,2,1,2
"Relaxor ferroelectricity, ferromagnetic and optical second harmonic properties in lanthanum lithium niobate (La<sub>0.05</sub>Li<sub>0.85</sub>NbO<sub>3</sub>) nanoparticles","Diaz-Moreno, Carlos A.; Ding, Yu; Li, Chunqiang; Portelles, Jorge; Heiras, J.; Hurtado-Macias, A.; Farias, J. R.; Gonzalez-Hernandez, J.; Yacaman, M. J.; Lopez, Jorge",,,,JOURNAL OF MAGNETISM AND MAGNETIC MATERIALS,JUL 1 2017,2017,433,,,,,262,270,,10.1016/j.jmmm.2017.03.022,,,12,"1,5",0,0,0,0,0,0,0,3,2,4,1,1,0,1
