Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Average per Year,2003,2004,2006,2007,2008,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"Analysis of digital competence of educators (DigCompEdu) in teacher trainees: the context of Melilla, Spain","Garcia-Vandewalle Garcia, Jose Manuel; Garcia-Carmona, Marina; Trujillo Torres, Juan Manuel; Moya Fernandez, Pablo",,,,TECHNOLOGY KNOWLEDGE AND LEARNING,JUN 2023,2023,28.0,2,,,,585,612,,10.1007/s10758-021-09546-x,,,22,"5,5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,9
Geographical amplitude in the international generation of technology:: Present situation and business determinants,"Quintas, Maria A.; Vazquez, Xose H.; Garcia, Jose M.; Caballero, Gloria",,,,RESEARCH POLICY,SEP 2008,2008,37.0,8,,,,1371,1381,,10.1016/j.respol.2008.04.019,Seminar on University-Industry Linkages,"SEP 26-27, 2005",16,"0,94",0,0,0,0,0,2,1,2,4,1,1,2,0,2,0,0,0,1,0,0
"International generation of technology: an assessment of its intensity, motives and facilitators","Quintas, Maria A.; Vazquez, Xose H.; Garcia, Jose M.; Caballero, Gloria",,,,TECHNOLOGY ANALYSIS & STRATEGIC MANAGEMENT,2009,2009,21.0,6,,,,743,763,,10.1080/09537320903052756,,,13,"0,81",0,0,0,0,0,0,1,3,2,0,2,1,0,1,0,0,1,1,1,0
Aorto-Right Ventricular Fistula after Percutaneous Aortic Valve Implantation of a CoreValve Prosthesis,"Munoz-Garcia, Antonio J.; Rodriguez-Bailon, Isabel; Alonso Brieles, Juan H.; Jimenez Navarro, Manuel; Hernandez Garcia, Jose M.; de Teresa-Galvan, Eduardo",,,,TEXAS HEART INSTITUTE JOURNAL,DEC 2011,2011,38.0,6,,,,728,729,,,,,10,"0,71",0,0,0,0,0,0,0,0,0,2,1,2,1,0,1,1,0,2,0,0
Recording stratigraphic relationships among non-original deposits on a 16th century painting,"Barros Garcia, Jose Manuel",,,,JOURNAL OF CULTURAL HERITAGE,JUL-SEP 2009,2009,10.0,3,,,,338,346,,10.1016/j.culher.2009.01.001,,,9,"0,56",0,0,0,0,0,0,0,0,0,2,2,1,0,1,0,0,0,1,0,2
The influence of the air traffic network structure on the occurrence of safety events: A data-driven approach,"Garcia-Ovies Carro, Iciar; Arnaldo Valdes, Rosa M.; Cordero Garcia, Jose Manuel; Gomez Comendador, Fernando",,,,SAFETY SCIENCE,MAR 2019,2019,113.0,,,,,161,170,,10.1016/j.ssci.2018.11.026,,,8,"1,33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2,0
Balancing Offshoring and Agility in the Apparel Industry: Lessons From Benetton and Inditex,"Sartal, Antonio; Martinez-Senra, Ana I.; Garcia, Jose M.",,,,FIBRES & TEXTILES IN EASTERN EUROPE,MAR-APR 2017,2017,25.0,2,,,,16,23,,10.5604/12303666.1228148,,,8,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,1,3,0
Does abciximab improve the prognosis of diabetics after percutaneous coronary intervention?,"García, JMH; Franco, AD; Jiménez-Navarro, MF; Briales, JHA; Balsera, EC; Doblas, JJG; Galván, ED",,,,REVISTA ESPANOLA DE CARDIOLOGIA,AUG 2002,2002,55.0,8,,,,810,815,,,,,5,"0,22",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Teacher Training for Educational Change: The View of International Experts,"Garcia, Jose Manuel Garcia-Vandewalle; Garcia-Carmona, Marina; Torres, Juan Manuel Trujillo; Moya-Fernandez, Pablo",,,,CONTEMPORARY EDUCATIONAL TECHNOLOGY,JAN 2022,2022,14.0,1,,,,,,ep330,10.30935/cedtech/11367,,,4,"1,33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
<SUP>18</SUP>F-FDG PET/CT in lung B lymphoid hyperplasia-type Castleman disease,"Fernandez-Rodriguez, Paula; Fernandez Lopez, Rosa; Acevedo Banez, Irene; Mohigefer Barrera, Javier; Jimenez-Hoyuela Garcia, Jose Manuel",,,,EUROPEAN JOURNAL OF NUCLEAR MEDICINE AND MOLECULAR IMAGING,JAN 2020,2020,47.0,1,,,,222,223,,10.1007/s00259-019-04520-3,,,4,"0,8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0
