Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Average per Year,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Multimeric System of <SUP>99m</SUP>Tc-Labeled Gold Nanoparticles Conjugated to c[RGDfK(C)] for Molecular Imaging of Tumor α(v)β(3) Expression,"Morales-Avila, Enrique; Ferro-Flores, Guillermina; Ocampo-Garcia, Blanca E.; De Leon-Rodriguez, Luis M.; Santos-Cuevas, Clara L.; Garcia-Becerra, Rocio; Medina, Luis A.; Gomez-Olivan, Leobardo",,,,BIOCONJUGATE CHEMISTRY,MAY 2011,2011,22,5,,,,913.0,922.0,,10.1021/bc100551s,,,119,"8,5",0,0,3,9,11,12,16,8,9,14,10,8,7,6,4,2
Molecular Targeting Radiotherapy with Cyclo-RGDfK(C) Peptides Conjugated to <SUP>177</SUP>Lu-Labeled Gold Nanoparticles in Tumor-Bearing Mice,"Vilchis-Juarez, Andrea; Ferro-Flores, Guillermina; Santos-Cuevas, Clara; Morales-Avila, Enrique; Ocampo-Garcia, Blanca; Diaz-Nieto, Lorenza; Luna-Gutierrez, Myrna; Jimenez-Mancilla, Nallely; Pedraza-Lopez, Martha; Gomez-Olivan, Leobardo",,,,JOURNAL OF BIOMEDICAL NANOTECHNOLOGY,MAR 2014,2014,10,3,,,,393.0,404.0,,10.1166/jbn.2014.1721,,,87,"7,91",0,0,0,0,0,1,9,10,8,6,12,10,7,14,7,3
Multifunctional targeted therapy system based on <SUP>99m</SUP>Tc/<SUP>177</SUP>Lu-labeled gold nanoparticles-Tat(49-57)-Lys<SUP>3</SUP>-bombesin internalized in nuclei of prostate cancer cells,"Jimenez-Mancilla, Nallely; Ferro-Flores, Guillermina; Santos-Cuevas, Clara; Ocampo-Garcia, Blanca; Luna-Gutierrez, Myrna; Azorin-Vega, Erika; Isaac-Olive, Keila; Camacho-Lopez, Miguel; Torres-Garcia, Eugenio",,,,JOURNAL OF LABELLED COMPOUNDS & RADIOPHARMACEUTICALS,NOV 2013,2013,56,13,,,,663.0,671.0,,10.1002/jlcr.3087,,,73,"6,08",0,0,0,0,0,0,9,12,5,6,7,12,10,3,5,4
<SUP>99m</SUP>Tc-labelled gold nanoparticles capped with HYNIC-peptide/mannose for sentinel lymph node detection,"Ocampo-Garcia, Blanca E.; Ramirez, Flor de M.; Ferro-Flores, Guillermina; De Leon-Rodriguez, Luis M.; Santos-Cuevas, Clara L.; Morales-Avila, Enrique; Arteaga de Murphy, Consuelo; Pedraza-Lopez, Martha; Medina, Luis A.; Camacho-Lopez, Marco A.",,,,NUCLEAR MEDICINE AND BIOLOGY,JAN 2011,2011,38,1,,,,1.0,11.0,,10.1016/j.nucmedbio.2010.07.007,,,73,"5,21",0,1,2,9,7,7,8,4,2,6,9,3,7,6,1,1
Clinical translation of a PSMA inhibitor for <SUP>99m</SUP>Tc-based SPECT,"Ferro-Flores, Guillermina; Luna-Gutierrez, Myrna; Ocampo-Garcia, Blanca; Santos-Cuevas, Clara; Azorin-Vega, Erika; Jimenez-Mancilla, Nallely; Orocio-Rodriguez, Emmanuel; Davanzo, Jenny; Garcia-Perez, Francisco O.",,,,NUCLEAR MEDICINE AND BIOLOGY,MAY 2017,2017,48,,,,,36.0,44.0,,10.1016/j.nucmedbio.2017.01.012,,,56,7,0,0,0,0,0,0,0,0,2,6,5,6,9,6,11,11
Lys<SUP>3</SUP>-Bombesin Conjugated to <SUP>99m</SUP>Tc-Labelled Gold Nanoparticles for <i>In Vivo</i> Gastrin Releasing Peptide-Receptor Imaging,"Mendoza-Sanchez, Andrei N.; Ferro-Flores, Guillermina; Ocampo-Garcia, Blanca E.; Morales-Avila, Enrique; Ramirez, Flor de M.; De Leon-Rodriguez, Luis M.; Santos-Cuevas, Clara L.; Medina, Luis A.; Rojas-Calderon, Eva L.; Camacho-Lopez, Marco A.",,,,JOURNAL OF BIOMEDICAL NANOTECHNOLOGY,AUG 2010,2010,6,4,,,,375.0,384.0,,10.1166/jbn.2010.1132,,,56,"3,73",0,0,4,7,10,5,5,3,3,2,5,2,4,4,2,0
"Design, preparation, <i>in vitro</i> and <i>in vivo</i> evaluation of <SUP>99m</SUP>Tc-N<sub>2</sub>S<sub>2</sub>-Tat(49-57)-bombesin: A target-specific hybrid radiopharmaceutical","Santos-Cuevas, Clara L.; Ferro-Flores, Guillermina; Arteaga de Murphy, Consuelo; Ramirez, Flor de M.; Luna-Gutierrez, Myrna A.; Pedraza-Lopez, Martha; Garcia-Becerra, Rocio; Ordaz-Rosado, David",,,,INTERNATIONAL JOURNAL OF PHARMACEUTICS,JUN 22 2009,2009,375,1-2,,,,75.0,83.0,,10.1016/j.ijpharm.2009.04.018,,,48,3,0,5,3,6,5,5,3,3,2,5,3,3,0,2,3,0
Synergistic Antitumorigenic Activity of Calcitriol with Curcumin or Resveratrol is Mediated by Angiogenesis Inhibition in Triple Negative Breast Cancer Xenografts,"Garcia-Quiroz, Janice; Garcia-Becerra, Rocio; Santos-Cuevas, Clara; Ramirez-Nava, Gerardo J.; Morales-Guadarrama, Gabriela; Cardenas-Ochoa, Nohemi; Segovia-Mendoza, Mariana; Prado-Garcia, Heriberto; Ordaz-Rosado, David; Avila, Euclides; Olmos-Ortiz, Andrea; Lopez-Cisneros, Sofia; Larrea, Fernando; Diaz, Lorenza",,,,CANCERS,NOV 2019,2019,11,11,,,,,,1739,10.3390/cancers11111739,,,46,"7,67",0,0,0,0,0,0,0,0,0,0,0,8,14,11,8,5
<SUP>177</SUP>Lu-Dendrimer Conjugated to Folate and Bombesin with Gold Nanoparticles in the Dendritic Cavity: A Potential Theranostic Radiopharmaceutical,"Mendoza-Nava, Hector; Ferro-Flores, Guillermina; de Maria Ramirez, Flor; Ocampo-Garcia, Blanca; Santos-Cuevas, Clara; Aranda-Lara, Liliana; Azorin-Vega, Erika; Morales-Avila, Enrique; Isaac-Olive, Keila",,,,JOURNAL OF NANOMATERIALS,2016,2016,2016,,,,,,,1039258,10.1155/2016/1039258,,,42,"4,67",0,0,0,0,0,0,0,0,2,2,7,2,15,5,6,3
Targeted imaging of gastrin-releasing peptide receptors with <SUP>99m</SUP>Tc-EDDA/HYNIC-[Lys<SUP>3</SUP>]-bombesin:: biokinetics and dosimetry in women,"Santos-Cuevas, Clara L.; Ferro-Flores, Guillermina; de Murphy, Consuelo Arteaga; Pichardo-Romero, Pablo A.",,,,NUCLEAR MEDICINE COMMUNICATIONS,AUG 2008,2008,29,8,,,,741.0,747.0,,10.1097/MNM.0b013e3282ffb45c,,,42,"2,47",5,7,4,2,3,2,2,5,2,1,2,3,2,1,0,1
