


Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Average per Year,1989,1990,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2008,2009,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Nanomedicine review: clinical developments in liposomal applications,"Beltran-Gracia, Esteban; Lopez-Camacho, Adolfo; Higuera-Ciapara, Inocencio; Velazquez-Fernandez, Jesus B.; Vallejo-Cardona, Alba A.",,,,CANCER NANOTECHNOLOGY,DEC 19 2019,2019,10.0,1.0,,,,,,11,10.1186/s12645-019-0055-y,,,301,"50,17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,87,96,68,33
Demulsification of heavy crude oil-in-water emulsions: A comparative study between microwave and thermal heating,"Martinez-Palou, Rafael; Ceron-Camacho, Ricardo; Chavez, Benjamin; Vallejo, Alba A.; Villanueva-Negrete, Diana; Castellanos, Jesus; Karamath, James; Reyes, Jesus; Aburto, Jorge",,,,FUEL,NOV 2013,2013,113.0,,,,,407,414,,10.1016/j.fuel.2013.05.094,,,148,"12,33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,10,14,13,14,28,15,25,12,3
RISK-FACTORS FOR SPONTANEOUS CEREBRAL HEMATOMAS - CASE-CONTROL STUDY,"CALANDRE, L; ARNAL, C; ORTEGA, JF; BERMEJO, F; FELGEROSO, B; DELSER, T; VALLEJO, A",,,,STROKE,NOV-DEC 1986,1986,17.0,6.0,,,,1126,1128,,10.1161/01.STR.17.6.1126,,,58,"1,49",4,3,1,3,2,4,6,2,3,5,1,4,1,5,1,3,0,2,1,2,2,0,0,1,1,0,0,0,0,1,0,0
Study of the formation and breaking of extra-heavy-crude-oil-in-water emulsions-A proposed strategy for transporting extra heavy crude oils,"Martinez-Palou, Rafael; Reyes, Jesus; Ceron-Camacho, Ricardo; Ramirez-de-Santiago, Mario; Villanueva, Diana; Vallejo, Alba A.; Aburto, Jorge",,,,CHEMICAL ENGINEERING AND PROCESSING-PROCESS INTENSIFICATION,DEC 2015,2015,98.0,,,,,112,122,,10.1016/j.cep.2015.09.014,,,53,"5,3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,10,11,10,9,4,1
<i>In silico</i> analysis of antidiabetic potential of phenolic compounds from blue corn (<i>Zea mays</i> L.) and black bean (<i>Phaseolus vulgaris</i> L.),"Damian-Medina, K.; Salinas-Moreno, Y.; Milenkovic, D.; Figueroa-Yanez, L.; Marino-Marmolejo, E.; Higuera-Ciapara, I; Vallejo-Cardona, A.; Lugo-Cervantes, E.",,,,HELIYON,MAR 2020,2020,6.0,3.0,,,,,,e03632,10.1016/j.heliyon.2020.e03632,,,43,"8,6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,11,10,10
"Novel anti-HER2 peptide-conjugated theranostic nanoliposomes combining NaYF<sub>4</sub>:Yb,Er nano-particles for NIR-activated bioimaging and chemo-photodynamic therapy against breast cancer","Panikar, Sandeep Surendra; Ramirez-Garcia, Gonzalo; Vallejo-Cardona, Alba A.; Banu, Nehla; Patron-Soberano, Olga A.; Cialla-May, Dana; Camacho-Villegas, Tanya A.; de la Rosa, Elder",,,,NANOSCALE,NOV 21 2019,2019,11.0,43.0,,,,20598,20613,,10.1039/c9nr06535k,,,40,"6,67",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,9,7,4
Thermal properties and volatile compounds profile of commercial dark-chocolates from different genotypes of cocoa beans (<i>Theobroma cacao</i> L.) from Latin America,"Calva-Estrada, S. J.; Utrilla-Vazquez, M.; Vallejo-Cardona, A.; Roblero-Perez, D. B.; Lugo-Cervantes, E.",,,,FOOD RESEARCH INTERNATIONAL,OCT 2020,2020,136.0,,,,,,,109594,10.1016/j.foodres.2020.109594,,,31,"6,2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,14,8
"HYDROCHEMISTRY AND EMERGING POLLUTANTS IN URBAN-INDUSTRIAL WASTEWATER OF MORELIA, MICHOACAN, MEXICO","Robledo Zacarias, Victor Hugo; Velazquez Machuca, Martha Alicia; Montanez Soto, Jose Luis; Pimentel Equihua, Jose Luis; Vallejo Cardona, Alba Adriana; Lopez Calvillo, Maia Dolores; Venegas Gonzalez, Jose",,,,REVISTA INTERNACIONAL DE CONTAMINACION AMBIENTAL,2017,2017,33.0,2.0,,,,221,235,,10.20937/RICA.2017.33.02.04,,,22,"2,75",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,3,3,4,4,1
New method to estimate the sample size for calculation of a proportion assuming binomial distribution,"Vallejo, Adriana; Muniesa, Ana; Ferreira, Chelo; de Bias, Ignacio",,,,RESEARCH IN VETERINARY SCIENCE,OCT 2013,2013,95.0,2.0,,,,405,409,,10.1016/j.rvsc.2013.04.005,,,22,"1,83",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,2,2,4,6,4
Immune response elicited by two rBCG strains devoid of genes involved in c-di-GMP metabolism affect protection versus challenge with M. tuberculosis strains of different virulence,"Alfredo Segura-Cerda, Cristian; de Jesus Aceves-Sanchez, Michel; Marquina-Castillo, Brenda; Mata-Espinoza, Dulce; Barrios-Payan, Jorge; Jazmin Vega-Dominguez, Perla; Pedroza-Roldan, Cesar; Bravo-Madrigal, Jorge; Adriana Vallejo-Cardona, Alba; Hernandez-Pando, Rogelio; Alberto Flores-Valdez, Mario",,,,VACCINE,APR 12 2018,2018,36.0,16.0,,,,2069,2078,,10.1016/j.vaccine.2018.03.014,,,21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,3,4,3,2
