Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Average per Year,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
A New Common-Mode Transformerless Photovoltaic Inverter,"Vazquez, Nimrod; Rosas, Marco; Hernandez, Claudia; Vazquez, Esli; Perez-Pinal, Francisco",,,,IEEE TRANSACTIONS ON INDUSTRIAL ELECTRONICS,OCT 2015,2015,62.0,10.0,,,,6381.0,6391,,10.1109/TIE.2015.2426146,,,98,"9,8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14,12,13,12,17,16,9,0
The tapped-inductor boost converter,"Vazquez, N.; Estrada, L.; Hernandez, C.; Rodriguez, E.",,,,"2007 IEEE INTERNATIONAL SYMPOSIUM ON INDUSTRIAL ELECTRONICS, PROCEEDINGS, VOLS 1-8",2007,2007,,,,,,538.0,543,,10.1109/ISIE.2007.4374654,IEEE International Symposium on Industrial Electronics,"JUN 04-07, 2007",81,"4,5",0,0,0,0,0,0,0,1,1,6,0,4,14,3,12,6,8,6,5,4,4,5,2
Integrating Two Stages as a Common-Mode Transformerless Photovoltaic Converter,"Vazquez, Nimrod; Vazquez, Jeziel; Vaquero, Joaquin; Hernandez, Claudia; Vazquez, Esli; Osorio, Rene",,,,IEEE TRANSACTIONS ON INDUSTRIAL ELECTRONICS,SEP 2017,2017,64.0,9.0,,,,7498.0,7507,,10.1109/TIE.2017.2682014,,,69,"8,63",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,15,12,15,9,8,3
Dynamical Sliding-Mode Control of the Boost Inverter,"Cortes, Domingo; Vazquez, Nimrod; Alvarez-Gallegos, Jaime",,,,IEEE TRANSACTIONS ON INDUSTRIAL ELECTRONICS,SEP 2009,2009,56.0,9.0,,,,3467.0,3476,,10.1109/TIE.2008.2010205,,,53,"3,31",0,0,0,0,0,0,0,0,0,3,2,5,4,4,5,10,3,4,5,2,3,2,1
Synchronization Technique of Grid-Connected Power Converters Based on a Limit Cycle Oscillator,"Oviedo, Erick; Vazquez, Nimrod; Femat, Ricardo",,,,IEEE TRANSACTIONS ON INDUSTRIAL ELECTRONICS,JAN 2018,2018,65.0,1.0,,,,709.0,717,,10.1109/TIE.2017.2703655,,,50,"7,14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,7,8,10,6,4
Three-Phase Rectifier With Active Current Injection and High Efficiency,"Vazquez, Nimrod; Rodriguez, Heriberto; Hernandez, Claudia; Rodriguez, Elias; Arau, Jaime",,,,IEEE TRANSACTIONS ON INDUSTRIAL ELECTRONICS,JAN 2009,2009,56.0,1.0,,,,110.0,119,,10.1109/TIE.2008.926770,,,43,"2,69",0,0,0,0,0,0,0,0,5,3,5,3,3,2,1,4,12,1,0,1,1,1,1
A novel uninterruptible power supply system with active power factor correction,"Vázquez, N; Aguilar, C; Arau, J; Cáceres, RO; Barbi, N; Gallegos, JA",,,,IEEE TRANSACTIONS ON POWER ELECTRONICS,MAY 2002,2002,17.0,3.0,,,,405.0,412,PII S0885-8993(02)04632-X,10.1109/TPEL.2002.1004248,,,41,"1,78",1,3,4,1,2,2,3,2,0,4,1,1,0,3,4,0,2,3,1,3,0,1,0
A Different Multilevel Current-Source Inverter,"Vazquez, Nimrod; Lopez, Hector; Hernandez, Claudia; Vazquez, Esli; Osorio, Rene; Arau, Jaime",,,,IEEE TRANSACTIONS ON INDUSTRIAL ELECTRONICS,AUG 2010,2010,57.0,8.0,,,,2623.0,2632,,10.1109/TIE.2009.2030814,,,39,"2,6",0,0,0,0,0,0,0,0,0,3,3,4,1,0,5,5,2,4,5,1,2,3,1
Real-Time Hardware in the Loop Simulation Methodology for Power Converters Using LabVIEW FPGA,"Estrada, Leonel; Vazquez, Nimrod; Vaquero, Joaquin; de Castro, Angel; Arau, Jaime",,,,ENERGIES,JAN 2020,2020,13.0,2.0,,,,,,373,10.3390/en13020373,,,33,"6,6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,8,6,6
Transformerless Common-Mode Current-Source Inverter Grid-Connected for PV Applications,"Lopez, Hector; Rodriguez-Resendiz, Juvenal; Guo, Xiaoqiang; Vazquez, Nimrod; Carrillo-Serrano, Roberto, V",,,,IEEE ACCESS,2018,2018,6.0,,,,,62944.0,62953,,10.1109/ACCESS.2018.2873504,,,26,"3,71",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,8,6,1
