Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Average per Year,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Heart and brain interaction in patients with heart failure: overview and proposal for a taxonomy. A position paper from the Study Group on Heart and Brain Interaction of the Heart Failure Association,"Doehner, Wolfram; Ural, Dilek; Haeusler, Karl Georg; Celutkiene, Jelena; Bestetti, Reinaldo; Cavusoglu, Yuksel; Pena-Duque, Marco A.; Glavas, Duska; Iacoviello, Massimo; Laufs, Ulrich; Marmol Alvear, Ricardo; Mbakwem, Amam; Piepoli, Massimo F.; Rosen, Stuart D.; Tsivgoulis, Georgios; Vitale, Cristiana; Yilmaz, M. Birhan; Anker, Stefan D.; Filippatos, Gerasimos; Seferovic, Petar; Coats, Andrew J. S.; Ruschitzka, Frank",,,,EUROPEAN JOURNAL OF HEART FAILURE,FEB 2018,2018,20,2,,,,199,215,,10.1002/ejhf.1100,,,109,"15,57",0,0,0,0,0,0,0,0,0,0,0,0,0,15,13,18,19,21,13,10
Comparison of reperfusion regimens with or without <i>tirofiban</i> in ST-elevation acute myocardial infarction,"Martínez-Ríos, MA; Rosas, M; González, H; Peña-Duque, MA; Martínez-Sánchez, C; Gaspar, J; García, H; Gaxiola, E; Delgado, L; Carrillo, J; Leyva, JL; Lupi, E",SASTRE Investigators,,,AMERICAN JOURNAL OF CARDIOLOGY,FEB 1 2004,2004,93,3,,,,280,287,,10.1016/j.amjcard.2003.10.005,,,26,"1,24",3,5,2,4,1,2,1,2,2,0,1,0,0,2,1,0,0,0,0,0
Interleukin 1 receptor antagonist polymorphisms are associated with the risk of developing acute coronary syndrome in Mexicans,"Manuel Fragoso, Jose; Delgadillo, Hilda; Llorente, Luis; Chuquiure, Eduardo; Juarez-Cedillo, Teresa; Vallejo, Maite; Lima, Guadalupe; Furuzawa-Carballeda, Janette; Antonio Pena-Duque, Marco; Antonio Martinez-Rios, Marco; Vargas-Alarcon, Gilberto",,,,IMMUNOLOGY LETTERS,OCT 30 2010,2010,133,2,,,,106,111,,10.1016/j.imlet.2010.08.003,,,22,"1,47",0,0,0,0,0,0,3,3,1,2,2,2,3,2,1,1,0,1,1,0
Alleles and haplotypes of the interleukin 10 gene polymorphisms are associated with risk of developing acute coronary syndrome in Mexican patients,"Manuel Fragoso, Jose; Vallejo, Maite; Alvarez-Leon, Edith; Delgadillo, Hilda; Antonio Pena-Duque, Marco; Cardoso-Saldana, Guillermo; Posadas-Romero, Carlos; Antonio Martinez-Rios, Marco; Vargas-Alarcon, Gilberto",,,,CYTOKINE,JUL 2011,2011,55,1,,,,29,33,,10.1016/j.cyto.2011.03.021,,,21,"1,5",0,0,0,0,0,0,0,2,0,4,2,1,1,2,3,2,2,1,0,1
Lipoprotein(a) and Homocysteine Potentiate the Risk of Coronary Artery Disease in Male Subjects,"Alfonso Banos-Gonzalez, Manuel; Angles-Cano, Eduardo; Cardoso-Saldana, Guillermo; Antonio Pena-Duque, Marco; Antonio Martinez-Rios, Marco; Valente-Acosta, Benjamin; Gonzalez-Pacheco, Hector; de la Pena-Diaz, Aurora",,,,CIRCULATION JOURNAL,AUG 2012,2012,76,8,,,,1953,1957,,10.1253/circj.CJ-12-0039,,,20,"1,54",0,0,0,0,0,0,0,1,2,4,2,4,2,1,1,1,1,0,0,1
The Interleukin 6-<i>572 G</i>&gt;<i>C</i> (rs1800796) Polymorphism Is Associated with the Risk of Developing Acute Coronary Syndrome,"Manuel Fragoso, Jose; Delgadillo, Hilda; Juarez-Cedillo, Teresa; Manuel Rodriguez-Perez, Jose; Vallejo, Maite; Perez-Mendez, Oscar; Alvarez-Leon, Edith; Antonio Pena-Duque, Marco; Antonio Martinez-Rios, Marco; Vargas-Alarcon, Gilberto",,,,GENETIC TESTING AND MOLECULAR BIOMARKERS,DEC 2010,2010,14,6,,,,759,763,,10.1089/gtmb.2010.0001,,,20,"1,33",0,0,0,0,0,0,0,3,2,1,4,0,0,1,3,1,3,1,1,0
C3435T polymorphism of the ABCB1 gene is associated with poor clopidogrel responsiveness in a Mexican population undergoing percutaneous coronary intervention,"Calderon-Cruz, Beatriz; Rodriguez-Galvan, Karen; Antonio Manzo-Francisco, Luis; Vargas-Alarcon, Gilberto; Manuel Fragoso, Jose; Antonio Pena-Duque, Marco; Alberto Reyes-Gomez, Carlos; Antonio Martinez-Rios, Marco; De la Pena-Diaz, Aurora",,,,THROMBOSIS RESEARCH,NOV 2015,2015,136,5,,,,894,898,,10.1016/j.thromres.2015.08.025,,,19,"1,9",0,0,0,0,0,0,0,0,0,0,0,2,3,5,3,1,3,0,1,1
The interleukin <i>1B</i>-<i>511</i> polymorphism is associated with the risk of developing restenosis after coronary stenting in Mexican patients,"Miranda-Malpica, Emma; Antonio Martinez-Rios, Marco; Manuel Fragoso, Jose; Delgadillo-Rodriguez, Hilda; Manuel Rodriguez-Perez, Jose; Gonzalez-Quesada, Carlos; Martinez-Rodriguez, Nancy; Saldana-Mendoza, Arturo; Antonio Pena-Duque, Marco; Vargas-Alarcon, Gilberto",,,,HUMAN IMMUNOLOGY,FEB 2008,2008,69,2,,,,116,121,,10.1016/j.humimm.2007.12.003,,,17,1,0,0,0,0,1,1,1,0,3,1,1,3,2,1,0,1,1,1,0,0
"Distribution of <i>ABCB1, CYP3A5, CYP2C19,</i> and <i>P2RY12</i> gene polymorphisms in a Mexican Mestizos population","Vargas-Alarcon, Gilberto; Ramirez-Bello, Julian; de la Pena, Aurora; Calderon-Cruz, Beatriz; Antonio Pena-Duque, Marco; Antonio Martinez-Rios, Marco; Ramirez-Fuentes, Silvestre; Perez-Mendez, Oscar; Manuel Fragoso, Jose",,,,MOLECULAR BIOLOGY REPORTS,OCT 2014,2014,41,10,,,,7023,7029,,10.1007/s11033-014-3590-y,,,15,"1,36",0,0,0,0,0,0,0,0,0,0,1,4,0,3,3,3,1,0,0,0
The <i>NLRP3</i> and <i>CASP1</i> gene polymorphisms are associated with developing of acute coronary syndrome: a case-control study,"Gonzalez-Pacheco, Hector; Vargas-Alarcon, Gilberto; Angeles-Martinez, Javier; Martinez-Sanchez, Carlos; Perez-Mendez, Oscar; Herrera-Maya, Gabriel; Antonio Martinez-Rios, Marco; Antonio Pena-Duque, Marco; Posadas-Romero, Carlos; Manuel Fragoso, Jose",,,,IMMUNOLOGIC RESEARCH,AUG 2017,2017,65,4,,,,862,868,,10.1007/s12026-017-8924-0,,,13,"1,63",0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,6,0,1
